,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
82,SBILIFE,37611,37877,-266,-0.7,28273,112539.53861,10286764732,112908.81093,369.27232,2017
83,PERSISTENT,41916,42215,-299,-0.71,49685,108742.26224,20907947473,109955.43697,1213.17473,6300
84,BSE,92822,93510,-688,-0.74,139284,163716.33375,126126322398,175337.43273,11621.09898,2651
85,GRASIM,81755,82408,-653,-0.79,54688,278285.33047,10969477215,278917.20262,631.87215,2821
86,COALINDIA,99600,100410,-810,-0.81,104035,124793.00599,45294612021,129495.33895,4702.33296,402
87,IIFL,16449,16583,-134,-0.81,24924,68359.1134,18192933660,70192.6,1833.4866,595
88,UNIONBANK,33969,34256,-287,-0.84,19672,70354.6587,6287118322,70985.34068,630.68197,150
89,BANKBARODA,57846,58362,-516,-0.88,35302,134029.63928,16866744219,135662.61647,1632.97719,287
90,HCLTECH,82854,83653,-799,-0.96,57215,151337.41724,18284412125,152621.41849,1284.00125,1661
91,AUROPHARMA,57391,57988,-597,-1.03,27562,96258.11283,8969340776,96719.41059,461.29776,1208
92,PHOENIXLTD,15461,15622,-161,-1.03,11043,43882.4485,2756741680,44019.5953,137.1468,1851
93,TVSMOTOR,66702,67406,-704,-1.04,51878,176130.42254,15710440798,177112.95553,982.53298,3630
94,ABB,33000,33356,-356,-1.07,28254,73494.45817,11026944778,74131.96846,637.51028,5192
95,LTIM,27012,27311,-299,-1.09,36149,96730.86111,23646133560,97997.52171,1266.6606,6020
96,LICHSGFIN,54973,55584,-611,-1.1,26642,86974.7579,5873926410,87667.222,692.4641,540
97,HDFCAMC,39711,40169,-458,-1.14,28423,96499.7742,13228177455,97313.28375,813.50955,2647
98,MARICO,35071,35518,-447,-1.26,30019,143859.786,12411912528,144656.23128,796.44528,743
99,JSWENERGY,67817,68719,-902,-1.31,45067,149627.8499,7039033240,150676.7823,1048.9324,478
100,ABCAPITAL,41414,41970,-556,-1.32,37527,236110.57248,17237535337,237945.00585,1834.43337,347
101,INOXWIND,45299,45922,-623,-1.36,21219,49717.26621,4433946990,50542.55777,825.29155,126
102,APOLLOHOSP,50706,51423,-717,-1.39,46588,110347.00866,31315505635,111970.81501,1623.80635,7159
103,FORTIS,28938,29369,-431,-1.47,23737,77120.77568,9071006456,77870.62274,749.84706,901
104,ETERNAL,177656,180358,-2702,-1.5,120717,410181.46045,43139183183,414537.09728,4355.63683,281
105,BANDHANBNK,55120,55999,-879,-1.57,27037,71351.46648,7414818084,72545.46732,1194.00084,145
106,LAURUSLABS,38341,38975,-634,-1.63,34181,90954.20605,22606676916,92675.54522,1721.33916,1085
107,MPHASIS,31226,31750,-524,-1.65,31039,98359.25525,15180294481,99119.68756,760.43231,2847
108,GMRAIRPORT,58975,60015,-1040,-1.73,36550,80736.60708,18839185467,82474.602,1737.99492,102
109,PRESTIGE,17381,17692,-311,-1.76,69853,124472.68771,39253213089,129659.5786,5186.89089,1602
110,ADANIENT,152202,154955,-2753,-1.78,103397,187289.94813,54167671680,192335.38989,5045.44176,2231
111,BANKINDIA,20457,20839,-382,-1.83,10909,39355.06484,4113784844,39768.80128,413.73644,139
112,NESTLEIND,48809,49733,-924,-1.86,45652,125519.3738,16664594865,126376.42245,857.04865,1270
113,MAXHEALTH,55725,56788,-1063,-1.87,33234,125861.32539,6320398182,126202.54221,341.21682,1073
114,INDUSTOWER,76289,77783,-1494,-1.92,55855,199197.45138,20532591313,200924.47951,1727.02813,420
115,MOTHERSON,48850,49822,-972,-1.95,42950,132046.56574,18727140955,133839.5103,1792.94455,119
116,ADANIGREEN,70296,71722,-1426,-1.99,45844,118130.7528,16841971512,119391.06792,1260.31512,1016
117,DIVISLAB,50762,51813,-1051,-2.03,37301,107659.89677,13619953250,108389.82927,729.9325,6430
118,NHPC,20629,21067,-438,-2.08,18045,41176.51776,5120808192,41776.02368,599.50592,78
119,NTPC,101592,103768,-2176,-2.1,67425,148456.6206,18673433655,151240.63215,2784.01155,324
120,BIOCON,36951,37765,-814,-2.16,26924,90461.0265,18077842950,91760.331,1299.3045,395
121,KOTAKBANK,140643,143816,-3173,-2.21,104710,472950.79128,43767335896,475078.31024,2127.51896,2161
122,TATAPOWER,83059,84943,-1884,-2.22,45033,82770.87258,17141067192,84674.732,1903.85942,379
123,PATANJALI,57461,58778,-1317,-2.24,29555,118339.97346,2838945627,118618.46973,278.49627,546
124,PIDILITIND,19720,20177,-457,-2.26,12586,64020.7188,2843882700,64166.8458,146.127,1457
125,BHARTIARTL,154795,158452,-3657,-2.31,127650,469232.27165,82266056996,472131.28661,2899.01496,2106
126,ASIANPAINT,104147,106643,-2496,-2.34,102033,251199.92795,46179245767,253468.38562,2268.45767,2746
127,BRITANNIA,35722,36579,-857,-2.34,24034,90938.6805,9198866896,91357.16196,418.48146,6020
128,HDFCLIFE,48837,50028,-1191,-2.38,35651,174362.86131,12402397898,175073.65029,710.78898,748
129,HINDPETRO,28698,29411,-713,-2.42,23555,116398.10666,10866226504,117300.30045,902.19379,467
130,PETRONET,44080,45204,-1124,-2.49,26840,87412.8054,5337856266,88131.18556,718.38016,281
131,KFINTECH,17536,17984,-448,-2.49,23860,28871.61607,9242875826,29497.89433,626.27826,1099
132,AXISBANK,187557,192354,-4797,-2.49,87897,278182.17468,40133732418,280298.37387,2116.19918,1229
133,ICICIGI,26243,26927,-684,-2.54,16603,84795.49975,2100162109,84873.03584,77.53609,1953
134,RECLTD,125081,128351,-3270,-2.55,120811,157302.0243,41740466340,161490.33895,4188.31465,357
135,PFC,116286,119349,-3063,-2.57,91253,110634.57145,31865076425,114329.9807,3695.40925,354
136,IOC,37835,38832,-997,-2.57,27313,85149.79833,13188509685,86170.15143,1020.3531,160
137,CGPOWER,32372,33226,-854,-2.57,21486,47908.29653,7475424824,48502.93477,594.63824,655
138,PPLPHARMA,22353,22948,-595,-2.59,19324,32923.5159,5393563567,33302.1047,378.5888,174
139,DLF,102309,105082,-2773,-2.64,54397,155828.64024,16082357420,157608.87945,1780.2392,695
140,TMPV,244949,251680,-6731,-2.67,231028,184461.99408,48863030872,187809.0228,3347.02872,360
141,GLENMARK,55089,56617,-1528,-2.7,45540,166276.19317,18141100230,167078.49547,802.3023,2017
142,ZYDUSLIFE,22025,22645,-620,-2.74,12649,51709.9383,5350336587,52062.72417,352.78587,911
143,TATASTEEL,91648,94289,-2641,-2.8,68021,201672.26475,44172283815,205443.3029,3771.03815,169
144,TIINDIA,28594,29442,-848,-2.88,24799,60115.68588,7185497930,60834.06518,718.3793,2597
145,KALYANKJIL,42371,43634,-1263,-2.89,39882,124439.71285,10979453400,125364.50436,924.7915,490
146,M&M,132401,136386,-3985,-2.92,73716,273734.10524,26494247642,275167.38166,1433.27642,3627
147,BAJAJ-AUTO,78686,81063,-2377,-2.93,89923,207468.99301,41253739623,209655.13925,2186.14623,9067
148,CROMPTON,52461,54059,-1598,-2.96,26124,67798.5732,5581587780,68420.781,622.2078,257
149,SYNGENE,13870,14302,-432,-3.02,6725,26920.5881,1749289840,27006.8865,86.2984,655
150,LT,129842,133888,-4046,-3.02,90779,242462.79459,40451911251,244512.60211,2049.80751,4051
151,GODREJCP,27525,28386,-861,-3.03,22545,73902.838,6240767805,74399.51605,496.67805,1200
152,IDFCFIRSTB,61332,63262,-1930,-3.05,39026,167905.20164,14135506987,169235.22551,1330.02387,85
153,INFY,354557,365724,-11167,-3.05,236234,506007.65608,106319807776,511337.09384,5329.43776,1657
154,TORNTPHARM,12377,12774,-397,-3.11,10965,55112.86642,4997088375,55295.00017,182.13375,3835
155,AUBANK,37278,38514,-1236,-3.21,32392,187405.3174,13092759200,188486.8094,1081.492,974
156,TCS,242996,251085,-8089,-3.22,239383,345158.22845,104326706106,350860.22951,5702.00106,3276
157,BHARATFORG,28546,29506,-960,-3.25,19812,66285.1772,7849739945,66876.57665,591.39945,1438
158,UNITDSPR,50619,52379,-1760,-3.36,30133,90449.09396,8282652324,91125.9372,676.84324,1428
159,HAVELLS,25497,26384,-887,-3.36,18936,81251.9298,5501957635,81671.40615,419.47635,1417
160,TATACONSUM,35840,37091,-1251,-3.37,19335,86927.73936,3883700606,87130.60042,202.86106,1174
161,ANGELONE,37407,38714,-1307,-3.38,51596,101510.45595,22975656475,103324.1457,1813.68975,2493
162,INDHOTEL,40568,41999,-1431,-3.41,24445,108321.6829,7409955650,108942.3394,620.6565,743
163,MANKIND,18219,18893,-674,-3.57,16910,29353.77393,5492881352,29549.42496,195.65102,2192
164,SBIN,197623,205054,-7431,-3.62,193775,342563.0976,107796013462,347638.81972,5075.72212,966
165,CANBK,49998,51982,-1984,-3.82,41916,154475.76015,27391962915,157106.8143,2631.05415,149
166,KAYNES,120636,125442,-4806,-3.83,193131,96869.94482,73050141733,102742.36215,5872.41733,4070
167,OBEROIRLTY,21201,22052,-851,-3.86,21020,67019.19693,5740890487,67563.3218,544.12487,1685
168,PNB,59263,61795,-2532,-4.1,38628,134272.5568,24328285920,136218.456,1945.8992,120
169,PAYTM,41968,43827,-1859,-4.24,37223,141014.08289,22007865752,142360.09541,1346.01252,1317
170,HEROMOTOCO,81005,84768,-3763,-4.44,100236,210405.16974,65722233861,213353.00835,2947.83861,5645
171,CIPLA,61725,64633,-2908,-4.5,49955,102972.30873,18035084415,104025.97788,1053.66915,1504
172,WIPRO,69462,72766,-3304,-4.54,52348,200913.8127,22004415150,202361.7642,1447.9515,266
173,JSWSTEEL,114217,119659,-5442,-4.55,88525,334434.17214,32834979348,336138.91062,1704.73848,1094
174,OIL,16499,17288,-789,-4.56,10606,31305.1382,2950401342,31489.65162,184.51342,402
175,SAMMAANCAP,47265,49564,-2299,-4.64,4878,16035.91131,1569145035,16197.58916,161.67785,139
176,LICI,34110,35771,-1661,-4.64,21001,63444.95402,6381002243,63899.09645,454.14243,850
177,MARUTI,127799,134124,-6325,-4.72,196484,304961.74301,133517537061,309348.61362,4386.87061,16590
178,ULTRACEMCO,92038,96595,-4557,-4.72,101164,180484.29454,42100123212,182904.72667,2420.43212,11778
179,TORNTPOWER,11640,12230,-590,-4.82,14600,23060.14677,5072651531,23383.48209,323.33531,1299
180,ASHOKLEY,60434,63509,-3075,-4.84,50156,170734.776,26641296650,173070.3925,2335.6165,174
181,INDIGO,220028,231243,-11215,-4.85,249993,347533.99644,158043365509,357643.22653,10109.23009,5066
182,GAIL,60823,63925,-3102,-4.85,26446,70116.32124,7531576731,70982.78355,866.46231,171
183,DELHIVERY,17755,18662,-907,-4.86,11944,42366.63661,5956051655,42833.74692,467.1103,408
184,AMBER,25633,26945,-1312,-4.87,28698,82245.7273,11121215856,83012.58586,766.85856,6629
185,PIIND,23648,24902,-1254,-5.04,21721,62743.39814,6170709961,63194.11026,450.71211,3232
186,MUTHOOTFIN,37239,39239,-2000,-5.1,47497,92908.60051,41182724354,95509.71905,2601.11854,3803
187,TECHM,57404,60530,-3126,-5.16,33850,151899.3108,17814571128,152956.34208,1057.03128,1612
188,AMBUJACEM,76904,81200,-4296,-5.29,51805,151632.59338,15302831670,153490.88758,1858.2942,554
189,DRREDDY,38136,40308,-2172,-5.39,33102,123115.56362,14046472325,123745.84937,630.28575,1267
190,SONACOMS,21592,22842,-1250,-5.47,19311,77360.29413,2747853858,77548.58021,188.28608,482
191,PGEL,26424,27976,-1552,-5.55,31351,48271.48949,9214259386,49272.27835,1000.78886,581
192,BLUESTARCO,12561,13312,-751,-5.64,9991,28580.38885,2967046143,28790.12028,209.73143,1764
193,BPCL,31476,33360,-1884,-5.65,27646,78829.59976,12255851301,79840.53965,1010.93989,366
194,POLYCAB,32265,34293,-2028,-5.91,43878,132536.7034,28451498355,133985.93695,1449.23355,7538
195,VBL,75274,80269,-4995,-6.22,82945,147713.74381,27560884706,149795.60838,2081.86456,483
196,NAUKRI,34492,36799,-2307,-6.27,20272,69277.07115,3518541213,69526.65828,249.58713,1365
197,INDIANB,26439,28220,-1781,-6.31,17069,69225.7721,6701102480,69630.1969,404.4248,775
198,SIEMENS,43098,46249,-3151,-6.81,48634,64625.58476,14145077844,65334.6757,709.09094,3105
199,TATAELXSI,42620,45775,-3155,-6.89,56524,62670.40526,24305151340,63927.31866,1256.9134,5340
200,360ONE,10907,11739,-832,-7.09,12410,23266.5392,5119840360,23600.4428,333.9036,1180
201,POLICYBZR,30858,33237,-2379,-7.16,29142,94139.97901,10132321437,94643.03338,503.05437,1910
202,SHRIRAMFIN,128378,138413,-10035,-7.25,167999,351960.47023,99039735943,360838.99467,8878.52443,960
203,VOLTAS,43340,46737,-3397,-7.27,43644,107088.67136,12438224133,108111.5127,1022.84133,1384
204,MANAPPURAM,29203,31612,-2409,-7.62,45620,104718.6537,32980209360,108154.2723,3435.6186,313
205,OFSS,37403,40752,-3349,-8.22,26944,75949.83819,8329445547,76539.16866,589.33047,7758
206,KPITTECH,17300,19025,-1725,-9.07,17365,39892.03727,4655225607,40203.52334,311.48607,1209
207,SHREECEM,19292,21247,-1955,-9.2,26337,59368.37141,11570699851,59876.49492,508.12351,26465
208,HFCL,23203,25764,-2561,-9.94,21620,21787.72848,6919318383,22802.67081,1014.94233,62
209,CHOLAFIN,68268,76010,-7742,-10.19,80349,163042.48612,68802491375,166789.89987,3747.41375,1699
210,KEI,16408,18273,-1865,-10.21,23074,50976.92421,12770221331,51629.92502,653.00081,4356
211,NCC,16331,18234,-1903,-10.44,9108,7101.9585,3358737549,7286.55399,184.59549,158
212,CYIENT,9393,11056,-1663,-15.04,7830,9388.41915,2846559177,9581.99092,193.57177,1118
