,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
141,GAIL,42090,41965,125,0.3,1100,1144.78339,489601539,1213.77028,68.98689,171
142,GODREJPROP,43103,42975,128,0.3,686,1116.04605,277041215,1168.6882,52.64215,2008
143,BLUESTARCO,8130,8106,24,0.3,212,488.6502,73536554,503.03574,14.38554,1744
144,BANDHANBNK,45412,45280,132,0.29,588,834.3108,237141756,888.67836,54.36756,145
145,AMBUJACEM,66985,66793,192,0.29,780,816.59424,385035735,870.20409,53.60985,556
146,INDHOTEL,33981,33887,94,0.28,694,1275.285,396839040,1326.1254,50.8404,737
147,EXIDEIND,25697,25627,70,0.27,463,849.03462,224484372,883.83834,34.80372,362
148,ADANIGREEN,53580,53439,141,0.26,1445,2379.50646,676636212,2547.84858,168.34212,1021
149,NAUKRI,27500,27429,71,0.26,256,387.95092,92295423,405.80516,17.85423,1334
150,ICICIBANK,231708,231115,593,0.26,5454,8844.48362,4353332018,9374.4938,530.01018,1346
151,YESBANK,49063,48938,125,0.26,1761,2268.30027,1034205620,2381.25547,112.9552,21
152,ADANIPORTS,70430,70266,164,0.23,2287,2494.261,1371491269,2679.46369,185.20269,1477
153,BRITANNIA,26329,26268,61,0.23,711,975.71687,443438886,1024.29323,48.57636,6025
154,LICI,23894,23839,55,0.23,471,481.76968,243037774,505.37242,23.60274,855
155,SUZLON,49827,49714,113,0.23,768,1233.16607,266258438,1274.16845,41.00238,52
156,360ONE,5748,5735,13,0.23,94,224.9698,34576420,232.734,7.7642,1185
157,BANKINDIA,13712,13681,31,0.23,242,556.46396,129408760,587.05556,30.5916,143
158,IIFL,11697,11671,26,0.22,300,737.27445,238249357,794.75302,57.47857,611
159,DELHIVERY,10860,10836,24,0.22,244,738.04264,134530529,758.97918,20.93654,401
160,POWERINDIA,6847,6832,15,0.22,57,156.5035,38333517,163.33867,6.83517,18324
161,CIPLA,45193,45095,98,0.22,1503,1194.2232,739378807,1280.01127,85.78807,1501
162,BOSCHLTD,9764,9743,21,0.22,223,280.32625,174372038,298.98413,18.65788,35965
163,KALYANKJIL,34973,34899,74,0.21,363,520.53733,163134744,555.64727,35.10994,483
164,MAXHEALTH,49309,49205,104,0.21,467,667.2258,197647689,697.1602,29.93439,1041
165,HDFCLIFE,40331,40251,80,0.2,796,1154.44637,560555644,1234.92281,80.47644,751
166,HDFCAMC,25645,25595,50,0.2,560,707.68257,388324254,772.82511,65.14254,2658
167,MARICO,30738,30680,58,0.19,401,1224.62472,245340276,1258.34748,33.72276,747
168,PPLPHARMA,12753,12729,24,0.19,254,516.43121,67599577,527.71136,11.28015,171
169,ICICIPRULI,21825,21784,41,0.19,500,1008.39707,215316699,1051.82406,43.42699,671
170,NMDC,74956,74825,131,0.18,2452,3376.89405,1081626817,3597.61972,220.72567,82
171,CROMPTON,42461,42390,71,0.17,703,535.34358,278823078,583.83936,48.49578,251
172,LTF,32440,32387,53,0.16,2419,2711.0565,1500338812,3056.76337,345.70687,315
173,CONCOR,44120,44055,65,0.15,1506,2446.96425,770818400,2609.27325,162.309,525
174,CHOLAFIN,29883,29839,44,0.15,874,1618.81881,784073075,1740.17456,121.35575,1703
175,DLF,79265,79149,116,0.15,1515,1472.93445,738112914,1601.81859,128.88414,687
176,VBL,58041,57958,83,0.14,1626,1900.08506,731192253,2074.7826,174.69753,490
177,GODREJCP,22142,22112,30,0.14,324,593.5118,141971770,620.7295,27.2177,1217
178,GLENMARK,41325,41270,55,0.13,579,1204.79827,330731355,1276.61182,71.81355,2023
179,HINDZINC,75469,75369,100,0.13,5525,5114.51893,3835352279,6145.10923,1030.59029,614
180,CAMS,15851,15831,20,0.13,340,1059.98722,86482425,1077.38647,17.39925,738
181,TIINDIA,21005,20979,26,0.12,203,252.67806,83438488,267.00294,14.32488,2618
182,TATAPOWER,66960,66894,66,0.1,1093,1041.96666,510353339,1119.1113,77.14464,379
183,SBICARD,27656,27630,26,0.09,552,1087.48704,283260368,1128.17072,40.68368,863
184,POLYCAB,25309,25286,23,0.09,1946,2994.23126,1590532533,3213.9316,219.70033,7573
185,GRASIM,69808,69753,55,0.08,532,796.6834,304085362,837.18702,40.50362,2828
186,HDFCBANK,465464,465104,360,0.08,9876,10501.42698,4432229384,11049.74332,548.31634,996
187,POWERGRID,65766,65716,50,0.08,850,938.581,340521306,978.32406,39.74306,264
188,PIIND,15849,15837,12,0.08,177,307.11166,71421379,319.47046,12.35879,3223
189,LODHA,33311,33287,24,0.07,344,684.32913,101266645,709.51558,25.18645,1065
190,UNOMINDA,8494,8488,6,0.07,89,184.14038,46053755,192.68793,8.54755,1284
191,OFSS,24912,24900,12,0.05,560,764.95023,252165536,812.05559,47.10536,7668
192,HINDALCO,120849,120803,46,0.04,3455,3470.18651,1840764002,3795.21653,325.03002,885
193,PATANJALI,47534,47519,15,0.03,494,1060.78878,142078761,1088.10639,27.31761,548
194,HAVELLS,20584,20579,5,0.02,449,918.29235,234370135,960.4437,42.15135,1428
195,SBILIFE,27613,27608,5,0.02,623,1190.0805,371860860,1234.0641,43.9836,2036
196,PHOENIXLTD,10397,10396,1,0.01,45,156.49739,13512992,158.06731,1.56992,1850
197,MFSL,23117,23116,1,0.0,118,308.9176,49557632,318.57392,9.65632,1670
198,PNBHOUSING,29622,29621,1,0.0,291,579.29313,125496806,611.67619,32.38306,956
199,SIEMENS,21167,21168,-1,0.0,1085,691.22348,529804955,785.56054,94.33705,3071
200,JSWENERGY,52893,52899,-6,-0.01,1008,1157.8183,386023030,1242.7986,84.9803,484
201,TORNTPHARM,9631,9634,-3,-0.03,65,335.5905,28863690,339.2274,3.6369,3823
202,SRF,24518,24542,-24,-0.1,715,751.70422,377946110,805.44532,53.7411,3059
203,TITAN,84591,84679,-88,-0.1,3604,4406.80236,2170698815,4757.56051,350.75815,4047
204,SAIL,62847,62962,-115,-0.18,5125,6800.85065,2993350664,7544.30229,743.45164,147
205,JSWSTEEL,97679,97860,-181,-0.18,4227,3925.12817,3017243472,4434.1479,509.01972,1166
206,POLICYBZR,21596,21640,-44,-0.2,1475,2576.57312,721801395,2720.17707,143.60395,1840
207,KEI,7619,7636,-17,-0.22,439,927.57483,260043598,994.36081,66.78598,4471
208,PRESTIGE,10995,11028,-33,-0.3,114,657.1143,17182980,662.2641,5.1498,1598
209,NYKAA,19520,19579,-59,-0.3,1290,2499.05937,852274875,2697.27687,198.2175,267
210,PIDILITIND,17661,17736,-75,-0.42,533,750.4724,328791935,794.24175,43.76935,1477
211,TORNTPOWER,8168,8231,-63,-0.77,233,422.09742,89405520,440.95012,18.8527,1298
212,HUDCO,22824,23021,-197,-0.86,2054,3885.4884,950470938,4123.22403,237.73563,228
